Alberto Silva;2024-02-02;252.918.970-66;Rua das Bananeiras, 104;Masculino;natacao_tarde;futebol_M_tarde;crossfit_manha;futebol;
Bernardo Nascimento;1967-02-06;868.512.627-46;Rua do Eclipse, 5468.;Masculino;basquete_M_manha;futebol_M_tarde;aerodance_tarde;yoga_noite;hidroginastica_noite;natacao_tarde;crossfit_manha;musculacao;
Emanuella Pereira;1986-07-26;055.656.003-59;Rua da Serra, 214.;Feminino;basquete_F_manha;futebol_F_tarde;aerodance_tarde;yoga_noite;hidroginastica_noite;natacao_tarde;crossfit_manha;musculacao;
Enzo Gabriel Teixeira;2005-06-25;496.742.802-94;Rua das Mexeriqueiras, 3136.;Masculino;basquete_M_manha;futebol_M_tarde;aerodance_tarde;yoga_noite;hidroginastica_noite;natacao_tarde;crossfit_manha;musculacao;
Giovanna Silva;1961-02-13;651.494.222-90;Rua das Formigas, 5476.;Feminino;basquete_F_manha;futebol_F_tarde;aerodance_tarde;yoga_noite;hidroginastica_noite;natacao_tarde;crossfit_manha;musculacao;
João Lucas Ferreira;1962-04-11;643.528.906-93;Rua das Bananeiras, 412;Masculino;basquete_M_manha;futebol_M_tarde;aerodance_tarde;yoga_noite;hidroginastica_noite;natacao_tarde;crossfit_manha;musculacao;
Luana Lopes;2004-07-19;386.106.152-00;Rua do Sal, 9831.;Feminino;basquete_F_manha;futebol_F_tarde;
Raquel Teixeira;1993-06-19;185.006.856-97;Rua das Macieiras;Feminino;basquete_F_manha;futebol_F_tarde;
Thamara Oliveira Melo;2001-05-03;132.665.906-51;Rua Maria da Gloria, 130.;Feminino;crossfit_manha;basquete_F_manha;natacao_tarde;yoga_noite;
Valentina Duarte;1974-03-25;624.654.132-10;Rua da Nostalgia, 2154.;Feminino;basquete_F_manha;futebol_F_tarde;
Vitor Hugo da Mata;1961-03-21;747.265.773-52;Rua da Carne, 4567.;Masculino;basquete_M_manha;futebol_M_tarde;
Yago Ribeiro;1980-09-06;753.080.323-94;Rua das Uvas, 1256.;Masculino;basquete_M_manha;futebol_M_tarde;
